"Player","Depth","Team","teamAbbr","total_MP","G","GS","GSpct","MP_per_game","WS","BPM","Pick","imputed"
"I. Hicks",5,"New York","NYK",240,18,0,0,13.3333333333333,0,-5.6,0,0
"R. Westbrook",1,"Oklahoma City","OKC",8466,241,241,1,35.1286307053942,12.3597448618001,11.2338766832034,0,0
"A. Roberson",1,"Oklahoma City","OKC",4966,188,188,1,26.4148936170213,3.53217881594845,0.751047120418848,0,0
"P. George",1,"Oklahoma City","OKC",8399,235,235,1,35.7404255319149,8.42440766757947,3.30173830217883,0,0
"Jerami Grant",1,"Oklahoma City","OKC",5244,238,57,0.239495798319328,22.0336134453782,3.37000381388253,-1.31371090770404,0,0
"S. Adams",1,"Oklahoma City","OKC",6890,236,236,1,29.1949152542373,7.65506531204644,2.01304789550073,0,0
"D. Schroder",2,"Oklahoma City","OKC",6184,226,151,0.668141592920354,27.3628318584071,2.9371765847348,-0.883489650711514,0,0
"A. Abrines",2,"Oklahoma City","OKC",2189,143,14,0.0979020979020979,15.3076923076923,2.15180447693011,-2.34458656920969,0,0
"T. Ferguson",2,"Oklahoma City","OKC",763,61,12,0.19672131147541,12.5081967213115,1.2,-2.5,21,0
"P. Patterson",2,"Oklahoma City","OKC",4889,226,11,0.0486725663716814,21.6327433628319,3.24211495193291,0.369830231131111,0,0
"N. Noel",2,"Oklahoma City","OKC",3484,148,87,0.587837837837838,23.5405405405405,3.07020665901263,1.49193455797933,0,0
"R. Felton",3,"Oklahoma City","OKC",5257,242,44,0.181818181818182,21.7231404958678,2.31147042039186,-1.42568004565341,0,0
"T. Luwawu-Cabarrot",3,"Oklahoma City","OKC",1997,121,26,0.214876033057851,16.504132231405,0.8,-4.2828743114672,0,0
"A. Nader",3,"Oklahoma City","OKC",522,48,1,0.0208333333333333,10.875,-0.1,-5.6,58,0
"T. Davis",3,"Oklahoma City","OKC",185.82740740784,21.9731095205496,0.546647591242658,0.0248780260586889,8.45703732710435,0.247544479905499,-5.20835336835175,60,1
"H. Diallo",4,"Oklahoma City","OKC",406.264183098242,34.9613407252815,0.709107861352038,0.0202826278009202,11.6203833912028,0.306713957516147,-3.66678214852479,45,1
"D. Burton",4,"Oklahoma City","OKC",185.82740740784,21.9731095205496,0.546647591242658,0.0248780260586889,8.45703732710435,0.247544479905499,-5.20835336835175,60,1
"D. Augustin",1,"Orlando","ORL",4476,215,56,0.26046511627907,20.8186046511628,2.70875781948168,-2.24445933869526,0,0
"E. Fournier",1,"Orlando","ORL",6637,204,194,0.950980392156863,32.5343137254902,4.05959017628447,-0.277655567274371,0,0
"J. Simmons",1,"Orlando","ORL",4234,202,60,0.297029702970297,20.960396039604,1.95207841284837,-1.91887104393009,0,0
"A. Gordon",1,"Orlando","ORL",6070,216,166,0.768518518518518,28.1018518518519,3.9701647446458,0.287446457990115,0,0
"N. Vucevic",1,"Orlando","ORL",5883,197,172,0.873096446700508,29.8629441624365,4.30107088220296,1.72656807751147,0,0
"Jerian Grant",2,"Orlando","ORL",3979,213,60,0.28169014084507,18.6807511737089,2.29851721538075,-2.00588087459161,0,0
"T. Ross",2,"Orlando","ORL",4302,175,51,0.291428571428571,24.5828571428571,3.0943049744305,-0.510437006043701,0,0
"J. Isaac",2,"Orlando","ORL",536,27,10,0.37037037037037,19.8518518518519,0.2,-1.8,6,0
"M. Frazier Jr.",2,"Orlando","ORL",416.243142915646,38.9951627726436,0.697137954281823,0.0178775495398339,10.6742250402313,0.355276073291768,-3.64427035380298,35,1
"M. Bamba",2,"Orlando","ORL",1588.80027586488,69.5083401836821,33.3581476452537,0.479915756254598,22.8576926404275,1.81992598858635,-1.95891245548395,6,1
"W. Iwundu",3,"Orlando","ORL",1020,62,12,0.193548387096774,16.4516129032258,0.7,-3.5,33,0
"J. Martin",3,"Orlando","ORL",2599,142,39,0.274647887323944,18.3028169014085,1.07660638707195,-3.75921508272413,0,0
"T. Mozgov",3,"Orlando","ORL",2789,161,113,0.701863354037267,17.3229813664596,2.24603800645393,-2.52330584438867,0,0
"K. Birch",4,"Orlando","ORL",578,42,0,0,13.7619047619048,1.8,0.3,0,0
"B. Simmons",1,"Philadelphia","PHI",2732,81,81,1,33.7283950617284,9.2,4.6,1,0
"J. Redick",1,"Philadelphia","PHI",6411,223,223,1,28.7488789237668,6.01558259241928,0.227390422710965,0,0
"R. Covington",1,"Philadelphia","PHI",6554,214,196,0.91588785046729,30.6261682242991,3.93959414098261,1.3603906011596,0,0
"D. Saric",1,"Philadelphia","PHI",4439,159,109,0.685534591194969,27.9182389937107,3.91416985807614,-0.326605091236765,0,0
"J. Embiid",1,"Philadelphia","PHI",2698,94,94,1,28.7021276595745,4.9472942920682,2.74566345441067,0,0
"M. Fultz",2,"Philadelphia","PHI",253,14,0,0,18.0714285714286,0.2,-3,1,0
"T. McConnell",2,"Philadelphia","PHI",5445,238,69,0.289915966386555,22.8781512605042,3.23959595959596,-1.58301193755739,0,0
"W. Chandler",2,"Philadelphia","PHI",4543,145,104,0.717241379310345,31.3310344827586,3.39672022892362,-0.9,0,0
"M. Muscala",2,"Philadelphia","PHI",2862,183,10,0.0546448087431694,15.6393442622951,2.67428371767994,0.450803633822502,0,0
"Amir Johnson",2,"Philadelphia","PHI",4579,233,171,0.733905579399142,19.6523605150215,5.12362961345272,2.69349202882725,0,0
"J. Bayless",3,"Philadelphia","PHI",2501,94,30,0.319148936170213,26.6063829787234,1.84822071171531,-1.83314674130348,0,0
"F. Korkmaz",3,"Philadelphia","PHI",80,14,0,0,5.71428571428571,0,-6.9,26,0
"Z. Smith",3,"Philadelphia","PHI",885.541921379356,58.044228454488,6.23103055351165,0.107349700726875,15.2563303011892,0.939516829895465,-2.86228934414445,16,1
"L. Shamet",4,"Philadelphia","PHI",551.071822361,43.7029300721325,2.14120396776673,0.0489945173980929,12.6094937216211,0.576498210377486,-3.34296819757774,26,1
"S. Milton",4,"Philadelphia","PHI",258.678311201579,27.6786265435147,0.443985488733913,0.0160407341034753,9.34577844008626,0.225491090719808,-4.48669475195123,54,1
"D. Jackson",5,"Philadelphia","PHI",97,20,0,0,4.85,-0.0649484536082474,-3.4319587628866,45,0
"D. Booker",1,"Phoenix","PHO",6703,208,183,0.879807692307692,32.2259615384615,2.07984484559153,-1.80035804863494,0,0
"T. Ariza",1,"Phoenix","PHO",7901,228,228,1,34.6535087719298,5.58186305530946,1.57019364637388,0,0
"R. Anderson",1,"Phoenix","PHO",5849,204,129,0.632352941176471,28.671568627451,4.63573260386391,-0.711061719952129,0,0
"D. Ayton",1,"Phoenix","PHO",2113.83700519918,73.6775667148691,60.7693559479426,0.824801342627382,28.6903748243979,3.62781075479906,-0.40200641736086,1,1
"T. Daniels",2,"Phoenix","PHO",3281,189,18,0.0952380952380952,17.3597883597884,1.32042060347455,-2.71097226455349,0,0
"Josh Jackson",2,"Phoenix","PHO",1959,77,35,0.454545454545455,25.4415584415584,-0.7,-4.3,0,0
"D. Bender",2,"Phoenix","PHO",2643,125,37,0.296,21.144,0.0131290200529701,-3.04748391978812,4,0
"R. Holmes",2,"Phoenix","PHO",2641,156,20,0.128205128205128,16.9294871794872,2.9061719045816,1.00889814464218,0,0
"E. Okobo",2,"Phoenix","PHO",458.651749099959,39.4711543142928,0.96291129575363,0.0243953163387713,11.6199223728777,0.278538808782025,-3.68048181969592,31,1
"D. Reed",3,"Phoenix","PHO",242,21,1,0.0476190476190476,11.5238095238095,-0.3,-6.7,32,0
"T. Warren",3,"Phoenix","PHO",5260,178,128,0.719101123595506,29.5505617977528,3.42844106463878,-1.13463878326996,0,0
"D. Arthur",3,"Phoenix","PHO",2296,130,24,0.184615384615385,17.6615384615385,1.82478222996516,-0.557926829268293,0,0
"T. Chandler",3,"Phoenix","PHO",4067,159,152,0.955974842767296,25.5786163522013,3.58443570199164,-0.379567248586181,0,0
"D. Melton",3,"Phoenix","PHO",390.432599838518,34.2538915134629,0.658099997250105,0.0192124155292385,11.3981968934848,0.299439027673322,-3.73969955825815,46,1
"I. Canaan",4,"Phoenix","PHO",2980,136,40,0.294117647058824,21.9117647058824,1.10791946308725,-2.79657718120805,0,0
"Mikal Bridges",4,"Phoenix","PHO",1252.47013467162,65.419158330987,18.4206617650499,0.281579008886829,19.1453110468767,1.09583771469471,-2.67045455295021,10,1
"D. Lillard",1,"Portland","POR",8040,223,223,1,36.0538116591928,10.7311940298507,4.89731343283582,0,0
"C. McCollum",1,"Portland","POR",8499,241,241,1,35.2655601659751,6.73272149664666,0.597387927991528,0,0
"M. Harkless",1,"Portland","POR",4944,214,119,0.55607476635514,23.1028037383178,3.56122572815534,0.715999190938511,0,0
"A. Aminu",1,"Portland","POR",6186,212,174,0.820754716981132,29.1792452830189,3.46509860976398,0.128855480116392,0,0
"J. Nurkic",1,"Portland","POR",4026,176,130,0.738636363636364,22.875,3.18291107799305,-0.0901390958768008,0,0
"Seth Curry",2,"Portland","POR",2721,114,51,0.447368421052632,23.8684210526316,3.7861815509004,0.662477030503491,0,0
"N. Stauskas",2,"Portland","POR",4520,194,62,0.319587628865979,23.2989690721649,0.912522123893805,-3.0653982300885,0,0
"E. Turner",2,"Portland","POR",5963,225,64,0.284444444444444,26.5022222222222,2.74392084521214,-1.60350494717424,0,0
"M. Leonard",2,"Portland","POR",2809,168,24,0.142857142857143,16.7202380952381,1.75250978996084,-2.06603773584906,0,0
"Z. Collins",2,"Portland","POR",1045,66,1,0.0151515151515152,15.8333333333333,0.6,-3.2,10,0
"W. Baldwin IV",3,"Portland","POR",485,40,1,0.025,12.125,-0.201030927835052,-4.75979381443299,0,0
"J. Layman",3,"Portland","POR",409,70,2,0.0285714285714286,5.84285714285714,-0.221760391198044,-6.46112469437653,47,0
"C. Swanigan",3,"Portland","POR",189,27,3,0.111111111111111,7,0,-5.4,26,0
"G. Trent Jr.",3,"Portland","POR",431.953320450169,38.8085564061484,0.874585711954075,0.0225358991146477,11.1303630037044,0.391220499726999,-3.49415974493615,37,1
"A. Simons",4,"Portland","POR",601.772149065078,46.0069568089355,2.87513132258784,0.0624934036504112,13.0800250832544,0.7484075538344,-3.01004627677631,24,1
"D. Fox",1,"Sacramento","SAC",2026,73,60,0.821917808219178,27.7534246575342,-0.6,-4.4,5,0
"B. Hield",1,"Sacramento","SAC",3912,162,67,0.41358024691358,24.1481481481481,2.0760736196319,-1.40654396728016,6,0
"Bogdan Bogdanovic",1,"Sacramento","SAC",2175,78,53,0.67948717948718,27.8846153846154,2.9,-1,0,0
"Z. Randolph",1,"Sacramento","SAC",5310,200,115,0.575,26.55,3.13483992467043,-1.52124293785311,0,0
"W. Cauley-Stein",1,"Sacramento","SAC",4877,214,118,0.551401869158878,22.7897196261682,3.57968013122821,0.0206684437153989,0,0
"Y. Ferrell",2,"Sacramento","SAC",3479,128,50,0.390625,27.1796875,2.58712273641851,-0.896780684104628,0,0
"I. Shumpert",2,"Sacramento","SAC",3529,144,42,0.291666666666667,24.5069444444444,1.73170869934826,-1.10096344573534,0,0
"Justin Jackson",2,"Sacramento","SAC",1506,68,41,0.602941176470588,22.1470588235294,1,-3.5,0,0
"M. Bagley III",2,"Sacramento","SAC",1999.76397653828,72.9275807775397,54.4801931451396,0.747045117420356,27.4212301466357,3.18622907219618,-0.771768546420524,2,1
"H. Giles",2,"Sacramento","SAC",718.074241746147,51.5581012491828,3.8422790756058,0.0745232850417799,13.9274764653504,0.86913109538227,-2.76804732051707,20,1
"F. Mason III",3,"Sacramento","SAC",984,52,2,0.0384615384615385,18.9230769230769,0.5,-3.4,0,0
"B. McLemore",3,"Sacramento","SAC",3710,185,96,0.518918918918919,20.0540540540541,0.390512129380054,-3.85649595687332,0,0
"N. Bjelica",3,"Sacramento","SAC",3636,192,22,0.114583333333333,18.9375,2.10844334433443,-0.0827832783278328,0,0
"K. Koufos",3,"Sacramento","SAC",4292,220,89,0.404545454545455,19.5090909090909,3.33208294501398,-0.880475302889096,0,0
"J. Artis",4,"Sacramento","SAC",279,15,1,0.0666666666666667,18.6,0,-5.9,0,0
"S. Labissiere",4,"Sacramento","SAC",1852,93,40,0.43010752688172,19.9139784946237,1.36695464362851,-2.6,28,0
"D. Murray",1,"San Antonio","SAS",2065,119,56,0.470588235294118,17.3529411764706,2.70101694915254,0.264406779661017,29,0
"D. DeRozan",1,"San Antonio","SAS",8135,232,232,1,35.0646551724138,9.51016594960049,1.37226797787339,0,0
"R. Gay",1,"San Antonio","SAS",4623,157,106,0.67515923566879,29.4458598726115,3.17536231884058,0.0274280770062729,0,0
"L. Aldridge",1,"San Antonio","SAS",7105,221,221,1,32.1493212669683,9.42944405348346,2.06678395496129,0,0
"P. Gasol",1,"San Antonio","SAS",5730,213,174,0.816901408450704,26.9014084507042,6.55338568935428,3.66183246073298,0,0
"P. Mills",2,"San Antonio","SAS",5523,243,47,0.193415637860082,22.7283950617284,4.62822741263806,0.77182690566721,0,0
"B. Forbes",2,"San Antonio","SAS",1802,116,12,0.103448275862069,15.5344827586207,1.78368479467259,-3.55865704772475,0,0
"M. Belinelli",2,"San Antonio","SAS",5397,222,9,0.0405405405405405,24.3108108108108,2.54391328515842,-2.39609042060404,0,0
"D. Bertans",2,"San Antonio","SAS",1894,144,16,0.111111111111111,13.1527777777778,2.75871172122492,1.34128827877508,0,0
"J. Poeltl",2,"San Antonio","SAS",2150,136,4,0.0294117647058824,15.8088235294118,4.4353488372093,2.1353488372093,9,0
"D. White",3,"San Antonio","SAS",139,17,0,0,8.17647058823529,0.5,0.5,29,0
"Q. Pondexter",3,"San Antonio","SAS",196,23,1,0.0434782608695652,8.52173913043478,-0.2,-6.7,0,0
"D. Cunningham",3,"San Antonio","SAS",5182,219,106,0.484018264840183,23.662100456621,2.47682362022385,-1.03753377074489,0,0
"L. Walker IV",3,"San Antonio","SAS",797.420337468986,54.9122714357938,4.99554067334062,0.0909731202647783,14.5217146662995,0.915117779911478,-2.7396337823804,18,1
"C. Metu",4,"San Antonio","SAS",332.791258803378,31.9505751036351,0.500448642923841,0.0156632123616111,10.4158143546379,0.283707013714179,-3.98466176691237,49,1
"K. Lowry",1,"Toronto","TOR",7605,215,215,1,35.3720930232558,10.6953320184089,6.44394477317554,0,0
"Danny Green",1,"Toronto","TOR",5660,217,207,0.953917050691244,26.0829493087558,3.5332332155477,2.12957597173145,0,0
"K. Leonard",1,"Toronto","TOR",5064,155,155,1,32.6709677419355,13.1203396524487,8.00505529225908,0,0
"S. Ibaka",1,"Toronto","TOR",7015,233,233,1,30.1072961373391,5.24255167498218,-0.233414112615823,0,0
"J. Valanciunas",1,"Toronto","TOR",5350,217,216,0.995391705069124,24.6543778801843,7.5121308411215,0.572635514018692,0,0
"D. Wright",2,"Toronto","TOR",2108,123,5,0.040650406504065,17.1382113821138,3.3569734345351,2.06010436432638,0,0
"C. Miles",2,"Toronto","TOR",4577,210,56,0.266666666666667,21.7952380952381,3.39080183526327,-0.404041948874809,0,0
"O. Anunoby",2,"Toronto","TOR",1481,74,62,0.837837837837838,20.0135135135135,3,0.6,23,0
"P. Siakam",2,"Toronto","TOR",2538,136,43,0.316176470588235,18.6617647058824,3.65078802206462,1.01694247438928,27,0
"G. Monroe",2,"Toronto","TOR",5177,211,81,0.383886255924171,24.5355450236967,6.0073015259803,1.85686691133861,0,0
"F. VanVleet",3,"Toronto","TOR",1814,113,0,0,16.0530973451327,3.97067254685777,1.07342888643881,0,0
"M. Richardson",3,"Toronto","TOR",522,48,4,0.0833333333333333,10.875,-0.0241379310344828,-6.05862068965517,22,0
"N. Powell",3,"Toronto","TOR",3155,195,60,0.307692307692308,16.1794871794872,1.78370839936609,-1.6848177496038,0,0
"L. Brown",4,"Toronto","TOR",200,22,0,0,9.09090909090909,0.078,-4.9825,0,0
"J. Loyd",4,"Toronto","TOR",185.82740740784,21.9731095205496,0.546647591242658,0.0248780260586889,8.45703732710435,0.247544479905499,-5.20835336835175,60,1
"R. Rubio",1,"Utah","UTA",7046,228,228,1,30.9035087719298,5.74517456713029,1.45056769798467,0,0
"D. Mitchell",1,"Utah","UTA",2638,79,71,0.89873417721519,33.3924050632911,5.2,1.1,13,0
"J. Ingles",1,"Utah","UTA",5791,245,109,0.444897959183673,23.6367346938775,5.57884648592644,2.32089449145225,0,0
"D. Favors",1,"Utah","UTA",5322,189,175,0.925925925925926,28.1587301587302,6.48355881247651,2.07602405110861,0,0
"R. Gobert",1,"Utah","UTA",6492,198,197,0.994949494949495,32.7878787878788,10.2146642020949,4.75545286506469,0,0
"D. Exum",2,"Utah","UTA",1463,80,26,0.325,18.2875,1.11968557758031,-2.29118250170882,0,0
"A. Burks",2,"Utah","UTA",2509,137,4,0.0291970802919708,18.3138686131387,1.48664806695895,-3.06907134316461,0,0
"R. O'Neale",2,"Utah","UTA",1150,69,4,0.0579710144927536,16.6666666666667,2.4,-0.6,0,0
"J. Crowder",2,"Utah","UTA",6733,225,192,0.853333333333333,29.9244444444444,5.63298678152384,0.986989454923511,0,0
"E. Udoh",2,"Utah","UTA",810,63,3,0.0476190476190476,12.8571428571429,3.2,5.7,0,0
"R. Neto",3,"Utah","UTA",2343,162,53,0.327160493827161,14.462962962963,1.44626547161758,-2.19594536918481,0,0
"T. Sefolosha",3,"Utah","UTA",4160,175,59,0.337142857142857,23.7714285714286,3.67149038461538,1.29336538461538,0,0
"G. Niang",3,"Utah","UTA",125,32,0,0,3.90625,-0.2232,-9.952,50,0
"T. Bradley",3,"Utah","UTA",29,9,0,0,3.22222222222222,0,-9.6,28,0
"G. Allen",3,"Utah","UTA",687.249931094566,49.9511185735572,3.6494343233438,0.0730601121168029,13.7584492744148,0.857486999976464,-2.80054198645254,21,1
"T. Cavanaugh",4,"Utah","UTA",518,39,1,0.0256410256410256,13.2820512820513,1.2,-1,0,0
"J. Wall",1,"Washington","WAS",7030,196,196,1,35.8673469387755,6.34887624466572,3.22210526315789,0,0
"B. Beal",1,"Washington","WAS",7369,214,194,0.906542056074766,34.4345794392523,6.50928212783281,1.34901614873117,0,0
"O. Porter Jr.",1,"Washington","WAS",7313,232,230,0.991379310344828,31.5215517241379,7.78501299056475,3.1466566388623,0,0
"Markieff Morris",1,"Washington","WAS",5971,213,194,0.910798122065728,28.0328638497653,2.85417852955954,-1.32627700552671,0,0
"D. Howard",1,"Washington","WAS",6942,226,226,1,30.716814159292,7.20946413137424,0.819187554019015,0,0
"T. Satoransky",2,"Washington","WAS",2362,130,33,0.253846153846154,18.1692307692308,3.6606265876376,-0.178492802709568,0,0
"A. Rivers",2,"Washington","WAS",5575,202,95,0.47029702970297,27.5990099009901,2.30554260089686,-1.49928251121076,0,0
"K. Oubre Jr.",2,"Washington","WAS",4507,223,25,0.112107623318386,20.2107623318386,2.60330596849345,-2.27656978034169,0,0
"Jeff Green",2,"Washington","WAS",5615,227,65,0.286343612334802,24.7356828193833,2.70477292965272,-2.55738201246661,0,0
"I. Mahinmi",2,"Washington","WAS",3516,179,71,0.396648044692737,19.6424581005587,4.13970420932878,1.13791240045506,0,0
"J. Meeks",3,"Washington","WAS",1900,116,10,0.0862068965517241,16.3793103448276,1.60742105263158,-2.441,0,0
"Jason Smith",3,"Washington","WAS",2534,183,7,0.0382513661202186,13.8469945355191,1.80828729281768,-2.43003157063931,0,0
"T. Bryant",3,"Washington","WAS",72,15,0,0,4.8,0.1,-4.2,42,0
"T. Brown Jr.",3,"Washington","WAS",937.107794818419,59.3734446702176,7.45608271223918,0.125579419446742,15.7832815667588,0.966504780647304,-2.87634204349804,15,1
"J. McRae",4,"Washington","WAS",579,59,5,0.0847457627118644,9.8135593220339,0.267357512953368,-5.75906735751295,0,0
